cname,id
Argentina,1
Australia,2
Austria,3
Bangladesh,4
Belarus,5
Belgium,6
Brazil,7
Canada,8
Chile,9
China,10
Colombia,11
Cyprus,12
Czech Republic,13
Denmark,14
Egypt,15
Estonia,16
Finland,17
France,18
Germany,19
Ghana,20
Greece,21
Hong Kong,22
Hungary,23
Iceland,24
India,25
Indonesia,26
Iran,27
Israel,28
Italy,29
Japan,30
Jordan,31
Kenya,32
Latvia,33
Lebanon,34
Lithuania,35
Luxembourg,36
Macau,37
Malaysia,38
Mexico,39
Morocco,40
Netherlands,41
New Zealand,42
Nigeria,43
Norway,44
Oman,45
Pakistan,46
Poland,47
Portugal,48
Qatar,49
Republic of Ireland,50
Romania,51
Russian Federation,52
Saudi Arabia,53
Serbia,54
Singapore,55
Slovakia,56
Slovenia,57
South Africa,58
South Korea,59
Spain,60
Sweden,61
Switzerland,62
Taiwan,63
Thailand,64
Turkey,65
Uganda,66
Ukraine,67
United Arab Emirates,68
United Kingdom,69
United States of America,70
