rank,teaching,international,research,citations,income,score,nStudents,SFRatio,nInternational,FMRatio,year,country,university
1,99.7,72.4,98.7,98.8,34.5,96.1,20152,8.9,25%,,2011,70,1
2,95.8,67.5,97.4,99.8,35.9,93.9,20152,8.9,25%,,2012,70,1
4,94.9,63.7,98.6,99.2,39.9,93.6,20152,8.9,25%,,2013,70,1
2,95.3,66.2,98.5,99.1,40.6,93.9,20152,8.9,25%,,2014,70,1
2,92.9,67.6,98.6,98.9,44.0,93.3,20152,8.9,25%,,2015,70,1
6,83.6,77.2,99.0,99.8,45.2,91.6,20152,8.9,25%,,2016,70,1
2,97.7,54.6,98.0,99.9,83.7,96.0,2243,6.9,27%,33 : 67,2011,70,2
1,95.7,56.0,98.2,99.9,97.0,94.8,2243,6.9,27%,33 : 67,2012,70,2
1,96.3,59.8,99.4,99.7,95.6,95.5,2243,6.9,27%,33 : 67,2013,70,2
1,94.4,65.8,98.2,99.8,91.2,94.9,2243,6.9,27%,33 : 67,2014,70,2
1,92.2,67.0,98.1,99.7,89.1,94.3,2243,6.9,27%,33 : 67,2015,70,2
1,95.6,64.0,97.6,99.8,97.8,95.2,2243,6.9,27%,33 : 67,2016,70,2
3,97.8,82.3,91.4,99.9,87.5,95.6,11074,9.0,33%,37 : 63,2011,70,3
7,92.7,79.2,87.4,100.0,94.4,92.3,11074,9.0,33%,37 : 63,2012,70,3
5,92.9,81.6,89.2,99.9,92.9,93.1,11074,9.0,33%,37 : 63,2013,70,3
5,92.9,82.0,89.0,100.0,94.3,93.0,11074,9.0,33%,37 : 63,2014,70,3
6,89.1,84.3,88.2,100.0,95.7,91.9,11074,9.0,33%,37 : 63,2015,70,3
5,89.4,84.0,88.6,99.7,95.4,92.0,11074,9.0,33%,37 : 63,2016,70,3
4,98.3,29.5,98.1,99.2,64.3,94.3,15596,7.8,22%,42 : 58,2011,70,4
2,94.8,57.2,98.9,99.8,63.8,93.9,15596,7.8,22%,42 : 58,2012,70,4
2,95.0,56.6,98.8,99.3,62.4,93.7,15596,7.8,22%,42 : 58,2013,70,4
4,94.7,68.0,96.8,99.1,61.3,93.8,15596,7.8,22%,42 : 58,2014,70,4
4,91.5,69.0,96.7,99.1,63.1,92.9,15596,7.8,22%,42 : 58,2015,70,4
3,92.5,76.3,96.2,99.9,63.3,93.9,15596,7.8,22%,42 : 58,2016,70,4
5,90.9,70.3,95.4,99.9,-,94.2,7929,8.4,27%,45 : 55,2011,70,5
5,91.5,49.6,99.1,100.0,81.0,92.9,7929,8.4,27%,45 : 55,2012,70,5
6,89.5,54.5,99.4,99.8,79.5,92.7,7929,8.4,27%,45 : 55,2013,70,5
6,89.9,59.6,97.6,99.7,80.5,92.7,7929,8.4,27%,45 : 55,2014,70,5
7,86.6,61.2,94.7,99.6,82.7,90.9,7929,8.4,27%,45 : 55,2015,70,5
7,85.1,78.5,91.9,99.3,52.1,90.1,7929,8.4,27%,45 : 55,2016,70,5
8,84.2,39.6,99.3,97.8,-,91.1,36186,16.4,15%,50 : 50,2011,70,6
10,82.8,50.4,99.4,99.4,62.5,89.8,36186,16.4,15%,50 : 50,2012,70,6
9,85.1,49.7,99.3,99.3,65.4,90.5,36186,16.4,15%,50 : 50,2013,70,6
8,83.2,57.3,97.5,99.3,59.5,89.8,36186,16.4,15%,50 : 50,2014,70,6
8,84.2,58.5,96.7,99.1,44.8,89.5,36186,16.4,15%,50 : 50,2015,70,6
13,80.4,61.9,91.1,99.7,47.9,87.2,36186,16.4,15%,50 : 50,2016,70,6
10,92.1,59.2,89.7,91.5,-,89.5,11751,4.4,20%,50 : 50,2011,70,7
11,92.3,55.5,91.2,96.7,34.7,89.1,11751,4.4,20%,50 : 50,2012,70,7
11,93.2,54.7,92.5,94.8,38.2,89.2,11751,4.4,20%,50 : 50,2013,70,7
