name,country,id
Harvard University,70,1
California Institute of Technology,70,2
Massachusetts Institute of Technology,70,3
Stanford University,70,4
Princeton University,70,5
"University of California, Berkeley",70,6
Yale University,70,7
"University of California, Los Angeles",70,8
University of Chicago,70,9
Johns Hopkins University,70,10
Cornell University,70,11
University of Michigan,70,12
Columbia University,70,13
University of Pennsylvania,70,14
Carnegie Mellon University,70,15
University of Washington,70,16
Duke University,70,17
Northwestern University,70,18
Georgia Institute of Technology,70,19
"University of California, Santa Barbara",70,20
University of North Carolina at Chapel Hill,70,21
"University of California, San Diego",70,22
University of Illinois at Urbana-Champaign,70,23
Washington University in St Louis,70,24
University of Wisconsin,70,25
Rice University,70,26
"University of California, Irvine",70,27
Vanderbilt University,70,28
University of Minnesota,70,29
Tufts University,70,30
"University of California, Davis",70,31
Brown University,70,32
University of Massachusetts,70,33
Boston University,70,34
New York University,70,35
Emory University,70,36
University of Notre Dame,70,37
University of Pittsburgh,70,38
Case Western Reserve University,70,39
Ohio State University,70,40
University of Colorado Boulder,70,41
"University of California, Santa Cruz",70,42
Yeshiva University,70,43
University of Virginia,70,44
University of Southern California,70,45
William & Mary,70,46
Stony Brook University,70,47
University of Utah,70,48
Wake Forest University,70,49
George Washington University,70,50
University of Arizona,70,51
"University of Maryland, College Park",70,52
Dartmouth College,70,53
Rensselaer Polytechnic Institute,70,54
"Rutgers, the State University of New Jersey",70,55
Purdue University,70,56
Pennsylvania State University,70,57
University of Hawaii at Manoa,70,58
"University of California, Riverside",70,59
Michigan State University,70,60
University of Iowa,70,61
Indiana University,70,62
Iowa State University,70,63
Georgia Health Sciences University,70,64
University of Delaware,70,65
Arizona State University,70,66
Boston College,70,67
Georgetown University,70,68
Drexel University,70,69
University of Cincinnati,70,70
Kent State University,70,71
University of Illinois at Chicago,70,72
University of Wisconsin-Madison,70,73
University of Texas at Austin,70,74
University of Rochester,70,75
University of Florida,70,76
Brandeis University,70,77
Medical University of South Carolina,70,78
Texas A&M University,70,79
University of Miami,70,80
Colorado School of Mines,70,81
Northeastern University,70,82
Tulane University,70,83
University at Buffalo,70,84
University of Georgia,70,85
University of Medicine and Dentistry of New Jersey,70,86
University of South Carolina,70,87
Colorado State University,70,88
Creighton University,70,89
State University of New York Albany,70,90
University of Missouri,70,91
University of Texas at Dallas,70,92
Virginia Polytechnic Institute and State University,70,93
Wayne State University,70,94
University of Kansas,70,95
University of Kentucky,70,96
University of Texas at San Antonio,70,97
"Binghamton University, State University of New York",70,98
George Mason University,70,99
Lehigh University,70,100
University of Houston,70,101
"University of Maryland, Baltimore County",70,102
University of Oklahoma,70,103
University of South Florida,70,104
Washington State University,70,105
Auburn University,70,106
Clemson University,70,107
Georgia State University,70,108
Kansas State University,70,109
Michigan Technological University,70,110
New Jersey Institute of Technology,70,111
Old Dominion University,70,112
University of Idaho,70,113
University of Wyoming,70,114
Florida Institute of Technology,70,115
University of Connecticut,70,116
University of Oregon,70,117
Oregon State University,70,118
University of Montana,70,119
North Carolina State University,70,120
University of Vermont,70,121
Southern Methodist University,70,122
Temple University,70,123
University of Nebraska-Lincoln,70,124
University of Alaska Fairbanks,70,125
San Diego State University,70,126
Syracuse University,70,127
University of New Mexico,70,128
Illinois Institute of Technology,70,129
University of Nebraska Medical Center,70,130
Florida State University,70,131
Oregon Health and Science University,70,132
Rush University,70,133
Saint Louis University,70,134
"University of Tennessee, Knoxville",70,135
Medical College of Wisconsin,70,136
University of South Dakota,70,137
American University,70,138
Florida International University,70,139
Howard University,70,140
Louisiana State University,70,141
University of San Francisco,70,142
University of Arkansas,70,143
Missouri University of Science and Technology,70,144
Montana State University,70,145
New Mexico State University,70,146
University of North Carolina at Greensboro,70,147
Oklahoma State University,70,148
Portland State University,70,149
University of Texas at Arlington,70,150
University of Toledo,70,151
University of Tulsa,70,152
